,id,type,Android,inapp,loc,contac_r,contact_w,media_r,media_w,storage_R,storage_w,cam,ad,label,size_below20,size_below50,size_below100,C_ART_AND_DESIGN,C_BOOKS_AND_REFERENCE,C_BUSINESS,C_COMMUNICATION,C_EDUCATION,C_ENTERTAINMENT,C_GAME,rating_above3,rating_above4,rating_anything,age_group_Everyone,age_group_Everyone 10+,age_group_Mature 17+,age_group_Teen
674,67,0,5,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
454,46,0,7,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
2700,292,0,12,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
722,71,0,8,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
2095,227,0,7,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
2066,223,0,7,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
3118,334,0,8,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
895,90,0,9,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
868,87,0,8,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
1129,116,0,13,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1299,138,0,9,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
1892,205,0,12,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
2764,300,0,12,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
1038,104,0,12,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
1854,201,0,7,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
1327,143,0,8,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
353,36,0,3,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
3323,353,0,9,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0
3266,348,0,9,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0
3397,361,0,3,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
768,76,0,8,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
396,41,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
3007,324,0,9,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0
76,8,0,9,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
