,id,Category,inapp,loc,contac_r,contact_w,media_r,media_w,storage_R,storage_w,cam,ad,size_below20,size_below50,size_below100,rating_above3,rating_above4,rating_anything
270,269,5,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
271,270,5,0.0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0
272,271,5,0.0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0
273,272,5,0.0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0
274,273,5,0.0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
275,274,5,0.0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0
276,275,5,0.0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0
277,276,5,0.0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0
278,277,5,0.0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0
279,278,5,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
280,279,5,0.0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0
281,280,5,0.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
282,281,5,1.0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0
283,282,5,0.0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0
284,283,5,0.0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
285,284,5,1.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
286,285,5,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
287,286,5,0.0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
288,287,5,0.0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0
289,288,5,0.0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0
290,289,5,0.0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0
291,290,5,0.0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0
292,291,5,0.0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0
293,292,5,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
294,293,5,1.0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
295,294,5,1.0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0
296,295,5,1.0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0
297,296,5,1.0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0
298,297,5,0.0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0
299,298,5,1.0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0
300,299,5,0.0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0
301,300,5,0.0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0
302,301,5,0.0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0
303,302,5,0.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
304,303,5,0.0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0
305,304,5,1.0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0
306,305,5,1.0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0
307,306,5,1.0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0
308,307,5,0.0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0
309,308,6,1.0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
310,309,6,1.0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0
311,310,6,1.0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0
312,311,6,1.0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0
313,312,6,1.0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0
314,313,6,1.0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
315,314,6,0.0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0
316,315,6,1.0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0
317,316,6,1.0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0
318,317,6,1.0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
319,318,6,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
320,319,6,0.0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
321,320,6,1.0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0
322,321,6,1.0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
323,322,6,0.0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
324,323,6,1.0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
325,324,6,1.0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
326,325,6,1.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
327,326,6,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
328,327,6,1.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
329,328,6,1.0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0
330,329,6,1.0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0
331,330,6,1.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
332,331,6,1.0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0
333,332,6,1.0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
334,333,6,1.0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0
335,334,6,1.0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0
336,335,6,1.0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0
337,336,6,1.0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
338,337,6,1.0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0
339,338,6,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
340,339,6,0.0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0
341,340,6,1.0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0
342,341,6,1.0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0
343,342,6,0.0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0
344,343,6,1.0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0
345,344,6,1.0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0
346,345,6,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
347,346,6,1.0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0
348,347,6,1.0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0
349,348,6,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
350,349,6,1.0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
351,350,6,1.0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0
352,351,6,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
353,352,6,1.0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0
354,353,6,1.0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0
355,354,6,0.0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0
356,355,6,1.0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0
357,356,6,1.0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0
358,357,6,1.0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
359,358,6,1.0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0
360,359,6,1.0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0
361,360,6,1.0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0
362,361,6,1.0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0
